track_name,artist_name,album_name,duration_ms,popularity
Shape of You,Billie Eilish,Midnights,248305,20
Believer,Adele,Scorpion,220605,43
Levitating,Drake,Anti,295109,64
Blinding Lights,Drake,25,274240,75
Bad Guy,Justin Bieber,Evolve,257077,83
Someone Like You,Imagine Dragons,Midnights,306386,32
Perfect,Ed Sheeran,Justice,194216,15
Hello,Imagine Dragons,25,252292,21
Stay,Drake,Anti,132057,63
Senorita,Rihanna,Scorpion,230984,36
Shape of You,Dua Lipa,When We All Fall Asleep,286456,79
Believer,The Weeknd,Midnights,178522,42
Levitating,Ed Sheeran,25,223764,42
Blinding Lights,Rihanna,Midnights,137227,66
Bad Guy,Drake,Midnights,282542,36
Someone Like You,Ed Sheeran,Evolve,215277,50
Perfect,Dua Lipa,Scorpion,144835,46
Hello,Rihanna,Midnights,308526,5
Stay,Justin Bieber,Midnights,187611,16
Senorita,Drake,When We All Fall Asleep,269853,98
Shape of You,Drake,25,147532,19
Believer,Taylor Swift,After Hours,306383,87
Levitating,Dua Lipa,Anti,242935,3
Blinding Lights,The Weeknd,Anti,243491,55
Bad Guy,Ed Sheeran,After Hours,147437,82
Someone Like You,Rihanna,When We All Fall Asleep,206297,64
Perfect,Dua Lipa,After Hours,179351,41
Hello,The Weeknd,25,199532,5
Stay,Ed Sheeran,Midnights,147218,45
Senorita,Billie Eilish,Midnights,227733,53
Shape of You,The Weeknd,Future Nostalgia,289400,26
Believer,Rihanna,Justice,301967,16
Levitating,Rihanna,Justice,194166,25
Blinding Lights,Adele,25,149376,70
Bad Guy,Taylor Swift,When We All Fall Asleep,225497,11
Someone Like You,Drake,Justice,204929,99
Perfect,Imagine Dragons,When We All Fall Asleep,225890,57
Hello,Billie Eilish,Evolve,281330,42
Stay,Imagine Dragons,Divide,284334,1
Senorita,Taylor Swift,Scorpion,153149,9
Shape of You,Adele,Midnights,157337,16
Believer,Dua Lipa,When We All Fall Asleep,283631,75
Levitating,Dua Lipa,Divide,287071,56
Blinding Lights,Taylor Swift,Midnights,306782,71
Bad Guy,Adele,After Hours,274138,25
Someone Like You,Billie Eilish,After Hours,185390,79
Perfect,Dua Lipa,Divide,207941,15
Hello,Drake,Anti,199399,2
Stay,Justin Bieber,Justice,279562,55
Senorita,Billie Eilish,Evolve,181082,77
Shape of You,Imagine Dragons,Evolve,204566,31
Believer,Ed Sheeran,Evolve,221542,58
Levitating,Drake,When We All Fall Asleep,195435,37
Blinding Lights,Ed Sheeran,Anti,271374,77
Bad Guy,Ed Sheeran,Future Nostalgia,248512,47
Someone Like You,Justin Bieber,25,295027,1
Perfect,Drake,25,309066,49
Hello,Rihanna,Future Nostalgia,166625,62
Stay,Billie Eilish,Future Nostalgia,130924,37
Senorita,Justin Bieber,Justice,290858,53
Shape of You,Rihanna,After Hours,239896,8
Believer,Adele,Anti,267819,6
Levitating,Taylor Swift,Scorpion,248154,55
Blinding Lights,Drake,Scorpion,305599,26
Bad Guy,Drake,Anti,227714,56
Someone Like You,Adele,Justice,132361,30
Perfect,The Weeknd,Justice,162578,1
Hello,Ed Sheeran,Scorpion,277777,22
Stay,Drake,Evolve,230666,3
Senorita,Ed Sheeran,25,244687,9
Shape of You,The Weeknd,Anti,201595,83
Believer,Dua Lipa,Anti,286890,2
Levitating,Rihanna,After Hours,210259,42
Blinding Lights,Billie Eilish,After Hours,300043,63
Bad Guy,Taylor Swift,Justice,159633,94
Someone Like You,Ed Sheeran,Divide,134397,73
Perfect,Dua Lipa,After Hours,279261,91
Hello,Taylor Swift,Scorpion,147129,3
Stay,Drake,25,125307,27
Senorita,Taylor Swift,Justice,172511,71
Shape of You,Taylor Swift,Anti,134086,82
Believer,Rihanna,Justice,298598,36
Levitating,Drake,Midnights,308964,16
Blinding Lights,The Weeknd,When We All Fall Asleep,239203,31
Bad Guy,Rihanna,Future Nostalgia,141761,68
Someone Like You,Billie Eilish,Future Nostalgia,257334,65
Perfect,Rihanna,Anti,238278,13
Hello,Justin Bieber,Divide,201492,30
Stay,Billie Eilish,Scorpion,173656,7
Senorita,The Weeknd,Divide,155635,2
Shape of You,Justin Bieber,Anti,242897,32
Believer,Billie Eilish,Midnights,246313,77
Levitating,Drake,Evolve,196670,52
Blinding Lights,Imagine Dragons,Future Nostalgia,143225,83
Bad Guy,Adele,After Hours,286080,50
Someone Like You,Imagine Dragons,Divide,191283,49
Perfect,Ed Sheeran,Justice,230376,24
Hello,Ed Sheeran,Future Nostalgia,244382,24
Stay,Rihanna,Justice,302020,36
Senorita,Rihanna,After Hours,137282,26
Shape of You,Imagine Dragons,Evolve,274746,84
Believer,Adele,Scorpion,194297,58
Levitating,Dua Lipa,Scorpion,136855,16
Blinding Lights,Adele,Justice,193535,68
Bad Guy,Billie Eilish,Future Nostalgia,234056,9
Someone Like You,Billie Eilish,Divide,164843,48
Perfect,Billie Eilish,When We All Fall Asleep,296597,84
Hello,The Weeknd,Future Nostalgia,126754,92
Stay,Dua Lipa,Divide,223403,71
Senorita,Dua Lipa,Midnights,200163,26
Shape of You,Justin Bieber,Future Nostalgia,205313,22
Believer,Ed Sheeran,After Hours,291578,71
Levitating,Imagine Dragons,Evolve,188399,82
Blinding Lights,Drake,Anti,201646,4
Bad Guy,Drake,After Hours,158380,28
Someone Like You,Dua Lipa,Justice,136440,19
Perfect,Rihanna,25,246825,67
Hello,Drake,25,232808,90
Stay,Imagine Dragons,After Hours,142065,36
Senorita,Adele,Justice,260255,19
Shape of You,Taylor Swift,Midnights,245417,24
Believer,Justin Bieber,After Hours,142018,17
Levitating,Dua Lipa,After Hours,134971,77
Blinding Lights,Justin Bieber,Evolve,189556,11
Bad Guy,Justin Bieber,When We All Fall Asleep,295350,3
Someone Like You,Drake,Evolve,171174,63
Perfect,Dua Lipa,Evolve,158891,96
Hello,Dua Lipa,Divide,238108,6
Stay,Taylor Swift,When We All Fall Asleep,305358,13
Senorita,The Weeknd,Scorpion,142627,36
Shape of You,Imagine Dragons,When We All Fall Asleep,286785,67
Believer,Imagine Dragons,Midnights,214885,49
Levitating,Adele,After Hours,207745,82
Blinding Lights,Drake,Future Nostalgia,141251,3
Bad Guy,The Weeknd,Justice,181315,73
Someone Like You,Rihanna,After Hours,184949,82
Perfect,Ed Sheeran,Anti,232986,86
Hello,Billie Eilish,After Hours,157447,79
Stay,Taylor Swift,Divide,195960,41
Senorita,Drake,Justice,311463,6
Shape of You,Ed Sheeran,Future Nostalgia,255074,4
Believer,The Weeknd,Evolve,203813,87
Levitating,Dua Lipa,Justice,264304,97
Blinding Lights,Drake,When We All Fall Asleep,171137,87
Bad Guy,Taylor Swift,When We All Fall Asleep,145421,100
Someone Like You,Taylor Swift,Future Nostalgia,260474,22
Perfect,Justin Bieber,Midnights,191710,2
Hello,Justin Bieber,25,309468,5
Stay,Taylor Swift,Scorpion,196277,42
Senorita,Rihanna,Anti,206845,79
Shape of You,Justin Bieber,Divide,272822,95
Believer,Adele,When We All Fall Asleep,316454,12
Levitating,Justin Bieber,After Hours,281934,56
Blinding Lights,Adele,Midnights,134733,23
Bad Guy,Justin Bieber,Evolve,250593,81
Someone Like You,Ed Sheeran,Divide,198801,74
Perfect,The Weeknd,When We All Fall Asleep,268031,4
Hello,The Weeknd,Scorpion,263974,36
Stay,Drake,Future Nostalgia,191282,2
Senorita,Taylor Swift,Future Nostalgia,129697,99
Shape of You,Rihanna,Future Nostalgia,150582,36
Believer,Dua Lipa,Scorpion,188473,65
Levitating,Ed Sheeran,Future Nostalgia,280524,14
Blinding Lights,Rihanna,Midnights,167530,8
Bad Guy,Adele,Anti,247699,48
Someone Like You,The Weeknd,25,162653,81
Perfect,Drake,Future Nostalgia,313778,13
Hello,Justin Bieber,When We All Fall Asleep,199434,41
Stay,Rihanna,Divide,219729,25
Senorita,Adele,Midnights,161641,88
Shape of You,Justin Bieber,When We All Fall Asleep,130513,8
Believer,Imagine Dragons,Midnights,231254,84
Levitating,The Weeknd,25,254738,93
Blinding Lights,Ed Sheeran,Midnights,306362,43
Bad Guy,Imagine Dragons,Midnights,246444,20
Someone Like You,The Weeknd,After Hours,274018,11
Perfect,Drake,Divide,155131,43
Hello,Rihanna,Midnights,314309,59
Stay,Taylor Swift,Midnights,213680,11
Senorita,Drake,When We All Fall Asleep,183006,72
Shape of You,Ed Sheeran,Divide,271579,25
Believer,Adele,After Hours,260518,84
Levitating,Taylor Swift,Future Nostalgia,232573,55
Blinding Lights,Dua Lipa,Divide,223446,99
Bad Guy,Justin Bieber,Anti,142121,88
Someone Like You,Justin Bieber,Evolve,314112,42
Perfect,Ed Sheeran,When We All Fall Asleep,319608,29
Hello,Adele,Justice,256198,81
Stay,Dua Lipa,25,295409,78
Senorita,Dua Lipa,Divide,222148,60
Shape of You,Adele,Evolve,269159,19
Believer,Dua Lipa,Evolve,218178,25
Levitating,Justin Bieber,Justice,133368,35
Blinding Lights,Billie Eilish,Future Nostalgia,305190,93
Bad Guy,Billie Eilish,25,212869,80
Someone Like You,The Weeknd,After Hours,179013,18
Perfect,Billie Eilish,Divide,146176,18
Hello,Rihanna,25,317945,74
Stay,Imagine Dragons,Midnights,287835,54
Senorita,Drake,Midnights,178863,25
Shape of You,Adele,Anti,268120,22
Believer,Drake,Midnights,291534,90
Levitating,Adele,Midnights,189797,28
Blinding Lights,Dua Lipa,When We All Fall Asleep,129353,100
Bad Guy,Rihanna,Evolve,167126,70
Someone Like You,Rihanna,Future Nostalgia,315145,3
Perfect,Ed Sheeran,25,267114,18
Hello,Drake,Scorpion,139216,30
Stay,Billie Eilish,Justice,182966,75
Senorita,Drake,Anti,181444,49
Shape of You,Taylor Swift,Midnights,192620,96
Believer,Ed Sheeran,Future Nostalgia,141625,42
Levitating,Justin Bieber,Scorpion,153165,29
Blinding Lights,Taylor Swift,Justice,180639,20
Bad Guy,Rihanna,Scorpion,199085,46
Someone Like You,Dua Lipa,Justice,187061,40
Perfect,Taylor Swift,Midnights,201277,54
Hello,Rihanna,When We All Fall Asleep,270697,86
Stay,Taylor Swift,Future Nostalgia,242397,42
Senorita,The Weeknd,Scorpion,253636,2
Shape of You,The Weeknd,Future Nostalgia,160336,25
Believer,Rihanna,Evolve,280958,9
Levitating,Adele,Scorpion,137303,36
Blinding Lights,Taylor Swift,Evolve,276208,27
Bad Guy,Adele,Midnights,286816,55
Someone Like You,Justin Bieber,25,252428,23
Perfect,Dua Lipa,Anti,268375,79
Hello,Adele,After Hours,188701,84
Stay,Ed Sheeran,Anti,239868,35
Senorita,Dua Lipa,25,175805,37
Shape of You,Imagine Dragons,Midnights,306675,30
Believer,Justin Bieber,Midnights,272385,9
Levitating,Adele,Anti,236898,18
Blinding Lights,Dua Lipa,Justice,158985,26
Bad Guy,Ed Sheeran,Justice,152237,73
Someone Like You,Imagine Dragons,After Hours,123956,27
Perfect,Dua Lipa,Divide,197606,57
Hello,Rihanna,Divide,310885,62
Stay,Billie Eilish,Justice,167726,22
Senorita,Billie Eilish,Midnights,216092,78
Shape of You,Imagine Dragons,Justice,133524,50
Believer,Dua Lipa,Scorpion,246352,98
Levitating,Adele,After Hours,289892,43
Blinding Lights,Adele,Justice,272296,77
Bad Guy,Rihanna,When We All Fall Asleep,252542,81
Someone Like You,Ed Sheeran,Justice,219677,48
Perfect,The Weeknd,25,171718,56
Hello,Imagine Dragons,Justice,254258,67
Stay,Imagine Dragons,When We All Fall Asleep,131825,37
Senorita,Ed Sheeran,When We All Fall Asleep,146105,79
Shape of You,The Weeknd,Divide,301306,35
Believer,Billie Eilish,Scorpion,229621,21
Levitating,Drake,Anti,256393,44
Blinding Lights,Taylor Swift,Justice,297354,7
Bad Guy,Dua Lipa,Justice,309037,36
Someone Like You,Ed Sheeran,25,276323,58
Perfect,Taylor Swift,Justice,226343,27
Hello,Billie Eilish,Justice,312232,90
Stay,Imagine Dragons,Justice,131300,31
Senorita,Rihanna,Divide,199323,10
Shape of You,Imagine Dragons,Midnights,316958,24
Believer,Ed Sheeran,Divide,300772,45
Levitating,Justin Bieber,Divide,291052,18
Blinding Lights,Rihanna,Future Nostalgia,174906,42
Bad Guy,Drake,Justice,278489,89
Someone Like You,The Weeknd,After Hours,158132,3
Perfect,Dua Lipa,When We All Fall Asleep,186564,87
Hello,Taylor Swift,Anti,159867,64
Stay,Adele,When We All Fall Asleep,237845,33
Senorita,Justin Bieber,25,293142,56
Shape of You,Ed Sheeran,After Hours,240669,20
Believer,Ed Sheeran,Anti,195551,38
Levitating,Billie Eilish,Justice,147172,67
Blinding Lights,The Weeknd,When We All Fall Asleep,150708,25
Bad Guy,Taylor Swift,Evolve,131364,42
Someone Like You,The Weeknd,Future Nostalgia,188220,1
Perfect,Adele,After Hours,173254,42
Hello,The Weeknd,Justice,131247,92
Stay,Justin Bieber,Evolve,213059,52
Senorita,Billie Eilish,Evolve,301285,80
Shape of You,Billie Eilish,Divide,128438,97
Believer,Adele,Midnights,312404,100
Levitating,Adele,Future Nostalgia,213209,84
Blinding Lights,The Weeknd,When We All Fall Asleep,197931,32
Bad Guy,Adele,Anti,150663,27
Someone Like You,Ed Sheeran,After Hours,306597,68
Perfect,Billie Eilish,25,156954,41
Hello,Ed Sheeran,Divide,211472,98
Stay,Rihanna,Justice,164262,64
Senorita,Rihanna,After Hours,267187,34
Shape of You,Justin Bieber,Divide,257926,72
Believer,Ed Sheeran,25,269904,92
Levitating,Ed Sheeran,Scorpion,146238,17
Blinding Lights,Drake,When We All Fall Asleep,239930,2
Bad Guy,Imagine Dragons,After Hours,313588,79
Someone Like You,Ed Sheeran,Future Nostalgia,234679,60
Perfect,The Weeknd,Evolve,133117,24
Hello,The Weeknd,After Hours,240891,23
Stay,Ed Sheeran,Justice,212872,61
Senorita,Billie Eilish,Justice,313775,12
Shape of You,Imagine Dragons,Scorpion,284789,65
Believer,Dua Lipa,25,290776,23
Levitating,Ed Sheeran,Midnights,141589,82
Blinding Lights,Taylor Swift,After Hours,151706,23
Bad Guy,Drake,Evolve,260390,18
Someone Like You,Justin Bieber,After Hours,213822,78
Perfect,Adele,When We All Fall Asleep,143457,74
Hello,Drake,Future Nostalgia,303240,46
Stay,Adele,Midnights,129033,1
Senorita,The Weeknd,Divide,172749,84
Shape of You,Ed Sheeran,Scorpion,121983,18
Believer,Adele,Anti,254671,58
Levitating,Imagine Dragons,After Hours,196622,46
Blinding Lights,Imagine Dragons,Evolve,203064,13
Bad Guy,Dua Lipa,Divide,170680,40
Someone Like You,Billie Eilish,Divide,197427,30
Perfect,Ed Sheeran,Justice,166044,44
Hello,Billie Eilish,Justice,296772,76
Stay,Ed Sheeran,When We All Fall Asleep,247019,16
Senorita,Taylor Swift,After Hours,228967,10
Shape of You,Imagine Dragons,Evolve,195063,28
Believer,Dua Lipa,Anti,226937,82
Levitating,The Weeknd,Midnights,165300,68
Blinding Lights,Rihanna,Midnights,301899,35
Bad Guy,Taylor Swift,Anti,144061,84
Someone Like You,Ed Sheeran,Justice,252559,80
Perfect,Billie Eilish,After Hours,310521,11
Hello,Adele,Future Nostalgia,185647,24
Stay,Billie Eilish,Divide,182517,79
Senorita,Billie Eilish,Midnights,265874,89
Shape of You,Taylor Swift,Anti,188000,61
Believer,Justin Bieber,Future Nostalgia,223836,53
Levitating,Billie Eilish,Divide,241489,95
Blinding Lights,Adele,Anti,253404,79
Bad Guy,Imagine Dragons,Midnights,251059,11
Someone Like You,Ed Sheeran,Divide,258120,70
Perfect,Rihanna,Future Nostalgia,251859,61
Hello,Imagine Dragons,Divide,189761,63
Stay,The Weeknd,Scorpion,177377,40
Senorita,Billie Eilish,Scorpion,234882,69
Shape of You,Dua Lipa,Midnights,303825,56
Believer,Imagine Dragons,Scorpion,141754,23
Levitating,Justin Bieber,Divide,233942,51
Blinding Lights,Ed Sheeran,After Hours,272369,29
Bad Guy,The Weeknd,Future Nostalgia,259961,82
Someone Like You,Adele,25,230016,27
Perfect,Adele,Divide,259771,76
Hello,Taylor Swift,After Hours,253593,45
Stay,Billie Eilish,Divide,169084,14
Senorita,Billie Eilish,Anti,227505,16
Shape of You,Adele,Divide,313841,31
Believer,Rihanna,Scorpion,259265,98
Levitating,The Weeknd,When We All Fall Asleep,141215,26
Blinding Lights,Taylor Swift,Evolve,220350,99
Bad Guy,Adele,25,250006,69
Someone Like You,Justin Bieber,Evolve,245296,11
Perfect,Ed Sheeran,When We All Fall Asleep,199158,70
Hello,Imagine Dragons,After Hours,203115,7
Stay,Drake,Future Nostalgia,127288,31
Senorita,Imagine Dragons,When We All Fall Asleep,228523,88
Shape of You,Dua Lipa,When We All Fall Asleep,264686,1
Believer,The Weeknd,25,120111,83
Levitating,Adele,25,248050,40
Blinding Lights,Justin Bieber,Future Nostalgia,221191,45
Bad Guy,Rihanna,25,142937,9
Someone Like You,Dua Lipa,Anti,137851,93
Perfect,Drake,Future Nostalgia,237296,71
Hello,Dua Lipa,25,288470,29
Stay,Dua Lipa,Evolve,265438,9
Senorita,The Weeknd,When We All Fall Asleep,316527,58
Shape of You,Dua Lipa,Future Nostalgia,162144,97
Believer,Adele,Midnights,299052,43
Levitating,Dua Lipa,Anti,263672,38
Blinding Lights,Dua Lipa,Anti,222300,47
Bad Guy,Ed Sheeran,25,221976,15
Someone Like You,Ed Sheeran,Future Nostalgia,303978,85
Perfect,Rihanna,Divide,182546,48
Hello,Rihanna,Evolve,319738,27
Stay,Imagine Dragons,Evolve,213426,58
Senorita,Rihanna,Evolve,307058,24
Shape of You,Drake,After Hours,128764,80
Believer,Adele,Scorpion,144820,61
Levitating,Ed Sheeran,25,315030,12
Blinding Lights,Justin Bieber,25,267871,59
Bad Guy,Billie Eilish,Midnights,175874,48
Someone Like You,Justin Bieber,After Hours,291839,16
Perfect,Justin Bieber,Anti,204789,22
Hello,Ed Sheeran,After Hours,315442,23
Stay,Drake,When We All Fall Asleep,251427,37
Senorita,Justin Bieber,Evolve,153558,43
Shape of You,Ed Sheeran,Divide,196511,74
Believer,Rihanna,After Hours,275868,100
Levitating,Justin Bieber,Scorpion,277287,22
Blinding Lights,The Weeknd,25,314800,71
Bad Guy,Imagine Dragons,After Hours,270322,83
Someone Like You,Adele,Evolve,268869,55
Perfect,Dua Lipa,Anti,237523,10
Hello,Drake,Justice,174795,46
Stay,Imagine Dragons,Midnights,177761,2
Senorita,Drake,Anti,209843,75
Shape of You,Billie Eilish,Anti,258271,32
Believer,The Weeknd,Justice,131182,52
Levitating,Billie Eilish,When We All Fall Asleep,136357,9
Blinding Lights,Billie Eilish,Divide,276967,55
