track_name,artist_name,album_name,duration_ms,popularity
Shape of You,Billie Eilish,Scorpion,144246,9
Believer,Billie Eilish,Scorpion,318078,29
Levitating,Taylor Swift,Scorpion,216012,67
Blinding Lights,The Weeknd,Justice,249295,73
Bad Guy,Justin Bieber,After Hours,288625,66
Someone Like You,Ed Sheeran,Midnights,246633,51
Perfect,Billie Eilish,Anti,173280,79
Hello,Ed Sheeran,After Hours,281093,64
Stay,Ed Sheeran,Divide,279661,85
Senorita,Billie Eilish,Scorpion,232466,59
Shape of You,Dua Lipa,Anti,296098,82
Believer,The Weeknd,Justice,149259,49
Levitating,The Weeknd,Anti,152920,33
Blinding Lights,Adele,After Hours,149641,75
Bad Guy,Drake,Midnights,224082,29
Someone Like You,Taylor Swift,When We All Fall Asleep,198457,83
Perfect,Adele,After Hours,171882,76
Hello,Billie Eilish,Justice,221130,2
Stay,Rihanna,Evolve,319364,92
Senorita,Taylor Swift,Evolve,244539,2
Shape of You,Justin Bieber,Scorpion,243775,39
Believer,Taylor Swift,Justice,299591,10
Levitating,Rihanna,Justice,270102,70
Blinding Lights,Billie Eilish,Scorpion,127917,66
Bad Guy,Billie Eilish,After Hours,129247,75
Someone Like You,Drake,Scorpion,232640,84
Perfect,Imagine Dragons,Justice,257925,38
Hello,Drake,Anti,282003,64
Stay,Rihanna,Justice,125012,63
Senorita,Drake,Justice,317665,21
Shape of You,Taylor Swift,After Hours,147743,97
Believer,Taylor Swift,25,229247,97
Levitating,Dua Lipa,Scorpion,280219,86
Blinding Lights,Justin Bieber,Anti,182141,55
Bad Guy,Imagine Dragons,When We All Fall Asleep,196865,41
Someone Like You,The Weeknd,Evolve,316710,92
Perfect,Drake,Evolve,190124,79
Hello,Drake,Midnights,174976,51
Stay,Taylor Swift,After Hours,168446,52
Senorita,Taylor Swift,After Hours,270394,38
Shape of You,Drake,25,160840,8
Believer,Imagine Dragons,When We All Fall Asleep,290671,43
Levitating,Taylor Swift,Divide,269247,58
Blinding Lights,Ed Sheeran,Evolve,166600,90
Bad Guy,Dua Lipa,Midnights,147306,22
Someone Like You,The Weeknd,Evolve,279142,20
Perfect,Rihanna,Midnights,143753,70
Hello,Justin Bieber,After Hours,194771,3
Stay,Billie Eilish,When We All Fall Asleep,135812,8
Senorita,Ed Sheeran,Divide,168340,4
Shape of You,Drake,Divide,314233,23
Believer,Dua Lipa,Evolve,133655,41
Levitating,Dua Lipa,Future Nostalgia,237151,57
Blinding Lights,Billie Eilish,When We All Fall Asleep,223964,63
Bad Guy,Dua Lipa,Evolve,197801,63
Someone Like You,Ed Sheeran,Evolve,272264,82
Perfect,Ed Sheeran,Justice,317242,98
